3 Wörter vor,Haus,3 Wörter nach
links über der,Haus,türe mit schönem
Schaab soll das,Haus,in der 1
nach scheint das,Haus,Besitztum des Klosters
Druckerei hat dieses,Haus,nichts zu tun
massgebend ist das,Haus,Weiss lilien gasse
Verlängerung auf das,Haus,zum König von
